chr	start	end	query	window	variations	variations_scl	dmp_max	sc_val	sc_max	w_num	dmp_num	std	median	mean	skew
chr1A__chi	1	1000000	Agron	chr1A_1_50000	59	-0.17551383499851786	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_50001_100000	32	-0.37227319649478025	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_100001_150000	110	0.19614273671664445	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_150001_200000	43	-0.29211197514445114	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_200001_250000	58	-0.1828012187576387	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_250001_300000	35	-0.3504110452174178	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_300001_350000	41	-0.3066867426626928	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_350001_400000	119	0.2617291905487319	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_400001_450000	55	-0.20466337003500118	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_450001_500000	36	-0.3431236614582969	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_500001_550000	33	-0.36498581273565944	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_550001_600000	55	-0.20466337003500118	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_600001_650000	35	-0.3504110452174178	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_650001_700000	27	-0.4087101152903844	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_700001_750000	32	-0.37227319649478025	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_750001_800000	35	-0.3504110452174178	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_800001_850000	25	-0.4232848828086261	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_850001_900000	45	-0.2775372076262095	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_900001_950000	53	-0.21923813755324284	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_950001_1000000	43	-0.29211197514445114	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_WhJag_150001_200000	33	-0.36498581273565944	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_WhJag_200001_250000	55	-0.20466337003500118	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_WhJag_400001_450000	58	-0.1828012187576387	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
chr1A__chi	1	1000000	Agron	chr1A_WhJag_450001_500000	36	-0.3431236614582969	0	0	dmp_0.5	34	2	19.7	28.0	31.6	1.91
